Code,Industry,Symbol
NSE/ABB,INDUSTRIAL MANUFACTURING,ABB
NSE/ACC,CEMENT & CEMENT PRODUCTS,ACC
NSE/ADANIPORTS,SERVICES,ADANIPORTS
NSE/AMBUJACEM,CEMENT & CEMENT PRODUCTS,AMBUJACEM
NSE/APOLLOHOSP,HEALTHCARE SERVICES,APOLLOHOSP
NSE/ASHOKLEY,AUTOMOBILE,ASHOKLEY
NSE/ASIANPAINT,CONSUMER GOODS,ASIANPAINT
NSE/AUROPHARMA,PHARMA,AUROPHARMA
NSE/AXISBANK,FINANCIAL SERVICES,AXISBANK
NSE/BAJFINANCE,FINANCIAL SERVICES,BAJFINANCE
NSE/BAJAJFINSV,FINANCIAL SERVICES,BAJAJFINSV
NSE/BANKBARODA,FINANCIAL SERVICES,BANKBARODA
NSE/BEL,INDUSTRIAL MANUFACTURING,BEL
NSE/BHARATFORG,INDUSTRIAL MANUFACTURING,BHARATFORG
NSE/BHEL,INDUSTRIAL MANUFACTURING,BHEL
NSE/BPCL,ENERGY,BPCL
NSE/BHARTIARTL,TELECOM,BHARTIARTL
NSE/INFRATEL,TELECOM,INFRATEL
NSE/BOSCHLTD,AUTOMOBILE,BOSCHLTD
NSE/BRITANNIA,CONSUMER GOODS,BRITANNIA
NSE/CADILAHC,PHARMA,CADILAHC
NSE/CAIRN,ENERGY,CAIRN
NSE/CASTROLIND,ENERGY,CASTROLIND
NSE/CIPLA,PHARMA,CIPLA
NSE/COALINDIA,METALS,COALINDIA
NSE/COLPAL,CONSUMER GOODS,COLPAL
NSE/CONCOR,SERVICES,CONCOR
NSE/CUMMINSIND,INDUSTRIAL MANUFACTURING,CUMMINSIND
NSE/DLF,CONSTRUCTION,DLF
NSE/DABUR,CONSUMER GOODS,DABUR
NSE/DIVISLAB,PHARMA,DIVISLAB
NSE/DRREDDY,PHARMA,DRREDDY
NSE/EICHERMOT,AUTOMOBILE,EICHERMOT
NSE/EMAMILTD,CONSUMER GOODS,EMAMILTD
NSE/GAIL,ENERGY,GAIL
NSE/GSKCONS,CONSUMER GOODS,GSKCONS
NSE/GLAXO,PHARMA,GLAXO
NSE/GLENMARK,PHARMA,GLENMARK
NSE/GODREJCP,CONSUMER GOODS,GODREJCP
NSE/GRASIM,CEMENT & CEMENT PRODUCTS,GRASIM
NSE/HCLTECH,IT,HCLTECH
