,ACC,ADANIPORTS,AMBUJACEM,ASIANPAINT,AUROPHARMA,AXISBANK,BANKBARODA,BHEL,BPCL,BHARTIARTL,INFRATEL,BOSCHLTD,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ITC,ICICIBANK,IDEA,INDUSINDBK,INFY,KOTAKBANK,LT,LUPIN,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMTRDVR,TATAMOTORS,TATAPOWER,TATASTEEL,TECHM,ULTRACEMCO,WIPRO,YESBANK,ZEEL,NSEI
2011-11-29,1046.9,124.89,133.9595,236.9181,41.9727,156.04,88.36,258.903,99.9511,364.19300000000004,,6848.05,319.75517,233.23,1534.6491,1552.51,347.2974,2247.74,170.5804,418.02,1821.54,115.9346,356.16,592.0059,115.20581000000001,99.05,94.4,247.42,474.69660999999996,225.7484,789.8497,454.80400000000003,931.12,137.48,219.1941,86.35,724.7057,97.8246,248.76887000000002,1011.062,91.6,170.4408,81.07816,339.6397,125.9704,1127.06,341.51899,259.74,119.54,4805.100098
2011-11-30,1031.93,122.41,135.5108,232.1491,42.7474,151.54,86.56,259.178,101.8351,376.278,,6811.26,320.97822,237.66,1517.9064,1559.81,349.5735,2267.35,167.5893,425.04,1767.24,116.5032,364.37199999999996,597.6405,116.83611,96.15,97.13,241.08,476.32355,231.528,786.7882,462.655,943.98,140.73,225.7966,89.89,737.2578,97.89399999999999,256.6566,1031.639,90.27,165.9742,80.81392,337.92900000000003,125.9927,1127.4,344.71759,256.91,119.63600000000001,4832.049805
2011-12-01,1056.45,122.85,135.8302,225.433,43.4751,155.53,87.94,253.44799999999998,99.6013,369.45599999999996,,6788.47,322.78835,240.1,1487.6445,1537.91,354.4826,2352.72,174.9033,435.6,1845.54,124.3679,358.36199999999997,611.0517,118.55372,102.86,91.52,252.51,485.18547,237.5307,800.6733,454.023,934.37,144.37,225.458,90.7,756.9148,101.3211,255.28907999999998,1049.441,92.59,175.7715,81.87087,353.2376,126.7843,1143.59,353.17103,263.42,121.075,4936.850098
2011-12-02,1094.78,126.84,146.5524,230.4641,43.522,160.86,90.36,259.132,105.5355,380.663,,6855.95,323.86464,243.11,1517.8102,1524.14,355.6429,2374.02,181.99900000000002,447.61,1839.04,128.3003,362.30699999999996,621.7621,120.21283000000001,106.3,96.13,266.11,492.27425,245.9892,810.3827,458.461,963.6,149.83,226.9394,93.79,769.2774,104.8037,260.39291000000003,1089.391,95.76,184.3204,85.96668000000001,367.6689,128.8345,1154.88,358.06029,273.9,121.74600000000001,5050.149902
2011-12-05,1085.99,125.72,148.1493,230.1093,45.1887,165.05,91.44,264.908,105.1758,380.566,,6817.94,322.20128,241.84,1520.0232,1529.69,356.1785,2376.11,177.6761,444.1,1822.16,129.3427,362.399,616.7330000000001,118.8445,105.2,96.63,264.95,493.55329000000006,243.6823,813.6917,454.56,970.59,152.48,227.9551,93.11,764.2566,106.1479,256.21702999999997,1092.119,94.86,184.032,85.79052,360.6945,132.8237,1167.84,356.55239,272.62,121.794,5039.149902
2011-12-06,1085.99,125.72,148.1493,230.1093,45.1887,165.05,91.44,264.908,105.1758,380.566,,6817.94,322.20128,241.84,1520.0232,1529.69,356.1785,2376.11,177.6761,444.1,1868.07,129.3427,362.399,616.7330000000001,118.8445,105.2,96.63,264.95,493.55329000000006,243.6823,813.6917,454.56,970.59,152.48,227.9551,93.11,764.2566,106.1479,256.21702999999997,1092.119,94.86,184.032,85.79052,360.6945,132.8237,1167.84,356.55239,272.62,121.794,5039.149902
2011-12-07,1099.11,128.59,147.1456,230.2625,44.3906,166.24,91.58,265.137,104.0211,367.751,,6824.62,318.04289,235.12,1496.0639999999999,1563.97,359.0347,2350.93,182.3483,448.67,1818.85,130.5745,364.005,629.1663,119.30991999999999,103.63,90.68,255.12,504.1145,244.22799999999998,823.711,439.39300000000003,969.76,147.49,231.34099999999998,93.56,767.1459,108.0558,249.7701,1090.8239999999998,95.48,183.8398,86.18683,366.3091,131.0515,1197.67,369.3011,279.7,123.665,5062.600098
2011-12-08,1084.59,125.43,146.8262,228.3879,42.8413,160.46,90.37,249.918,104.1627,357.907,,6775.88,321.17392,227.75,1496.3526,1512.05,353.0991,2334.61,182.4138,435.84,1818.5,123.75200000000001,360.51800000000003,623.3454,115.84676,100.45,86.91,250.18,497.62795,240.16,779.4594,433.005,947.62,144.16,225.7543,90.16,737.8261,103.7511,253.6529,1089.021,92.21,181.1022,86.49515,354.4658,128.043,1194.48,377.2062,271.07,123.042,4943.649902
2011-12-09,1049.51,123.92,145.6399,228.1904,42.137,158.62,89.78,241.804,104.9676,349.575,,6709.67,318.62997,229.6,1513.0471,1504.9,350.3768,2335.67,178.0473,426.24,1797.02,125.2208,353.86699999999996,610.3999,114.76921000000002,98.67,85.62,252.17,495.22556,242.5413,758.7715,430.469,957.24,143.98,221.268,89.39,715.8955,103.6206,250.50272,1084.212,90.27,175.7715,83.85269,348.7634,124.5004,1185.75,370.07791000000003,270.45,119.156,4866.700195
2011-12-12,1010.69,125.57,139.5259,228.0251,42.9586,155.18,88.18,236.487,102.9042,333.592,,6648.24,316.86877999999996,220.85,1509.4869,1464.97,349.4396,2247.5,180.5799,415.0,1746.82,117.0717,351.665,602.9025,114.10033,95.43,81.51,247.52,500.69765,240.3585,739.4131,424.08,930.44,141.77,217.8821,87.62,689.1809,98.4661,246.57105,1091.5639999999999,86.44,170.3447,77.90731,338.1483,121.2244,1126.96,379.03398,266.82,116.374,4764.600098
2011-12-13,1024.49,124.74,137.4271,226.0498,43.968,153.5,88.83,238.77900000000002,102.4121,337.05199999999996,,6675.61,321.90776,223.75,1539.4602,1470.43,348.1007,2338.05,181.7807,421.1,1773.6,122.7571,354.18800000000005,601.9712,114.88622,95.34,82.75,250.96,502.8815,241.301,724.0131,415.936,928.79,144.63,216.1891,89.89,703.2013,99.3048,250.20966,1090.038,86.11,171.833,79.71298,344.4209,121.9375,1121.41,377.06913,262.53,117.045,4800.600098
2011-12-14,1028.63,126.93,137.6552,224.3768,42.9352,153.38,88.81,234.10299999999998,97.4243,339.92699999999996,,6734.41,319.51056,218.12,1524.5458,1449.94,333.7304,2319.6,179.7502,417.21,1745.5,120.6251,352.72,587.0698,116.34098999999999,95.06,83.99,245.05,500.69765,242.19400000000002,717.303,403.159,920.19,142.25,213.3535,87.39,702.8224,99.1549,254.65416000000002,1093.506,84.73,170.1049,76.40988,329.6387,123.6197,1128.97,379.76507000000004,262.24,116.42200000000001,4763.25
2011-12-15,1028.36,123.67,140.0734,224.6389,43.0056,151.77,88.96,228.053,100.2639,328.086,,6588.76,322.34807,226.4,1525.2674,1450.38,331.6329,2295.34,180.5362,414.33,1728.71,120.7198,362.582,592.7044,116.19604,94.28,84.48,247.33,496.33137999999997,239.8624,700.7899,423.836,904.7,144.24,212.5493,90.11,710.6379,96.4693,255.28907999999998,1093.553,83.93,165.8305,79.88913000000001,329.2001,127.6427,1126.12,371.58582,252.8,116.038,4746.350098
2011-12-16,1017.9,123.28,139.5716,218.7129,41.9962,144.57,87.08,220.39700000000002,99.9133,327.98800000000006,,6437.84,324.54956,218.48,1544.6562,1430.56,337.1668,2295.39,180.0559,398.91,1701.84,119.2985,360.381,583.3444,113.98331999999999,91.23,83.29,243.89,497.82017,238.895,663.4032,419.496,904.56,139.52,211.8721,88.98,683.8285,93.2644,251.08877999999999,1060.076,83.31,165.5897,78.17155,320.1641,125.2572,1117.05,368.88984,242.09,114.59899999999999,4651.600098
2011-12-19,1018.67,116.52,140.621,214.4236,41.4328,135.77,84.16,212.74200000000002,99.3454,327.842,,6393.54,325.62583,223.13,1529.9342,1382.12,335.7833,2310.98,179.6629,389.98,1691.24,118.2562,363.5,575.8006,114.97355,88.69,82.05,238.22,489.03132999999997,232.0489,638.819,418.472,890.09,138.96,209.1634,89.93,696.57,90.4316,248.23162000000002,1057.625,84.35,172.6979,76.14564,318.9797,127.0294,1110.62,369.20971000000003,240.72,112.96799999999999,4613.100098
2011-12-20,993.64,118.27,136.2865,213.6174,41.7614,131.18,79.33,209.25799999999998,94.7643,315.027,,6456.34,321.71206,219.39,1508.7171,1365.5,337.3453,2272.87,170.8642,397.85,1599.5,112.6181,363.959,580.597,116.07903,88.18,82.45,224.62,487.63389000000006,220.7875,604.6794,416.668,889.61,134.27,214.07299999999998,88.48,675.8709,87.6766,244.20228999999998,1048.1,82.75,167.9915,71.34528,300.6884,127.509,1099.97,362.0357,228.97,113.304,4544.200195
2011-12-21,1028.0,120.36,142.1723,216.6811,42.3952,136.61,82.91,213.888,97.4902,332.81300000000005,,6471.66,326.16399,219.94,1506.023,1410.55,346.5834,2306.86,169.9691,418.26,1631.05,116.4558,368.36300000000006,610.4464,117.73813,94.79,82.05,232.75,501.20047999999997,230.5606,618.2861,426.275,934.03,139.35,221.0987,88.8,708.6011,90.1761,243.88483,1071.5430000000001,83.12,170.0088,76.54204,306.5662,127.7425,1100.9,372.08844,236.38,112.824,4693.149902
2011-12-22,1029.08,120.66,142.0354,222.3854,41.5032,139.71,84.26,217.28,98.7017,326.673,,6472.1,325.87044,217.9,1513.7688,1399.86,351.2247,2334.56,169.6198,425.37,1635.43,116.1715,374.69300000000004,616.9658,118.61133999999998,98.27,80.96,237.21,497.15362000000005,229.4692,621.4403,430.713,937.86,141.64,223.9344,91.29,714.8061,92.82,242.32192999999998,1065.069,84.4,176.3481,78.47978,310.4701,126.4945,1145.26,363.31514,243.46,113.59200000000001,4733.850098
2011-12-23,1027.19,121.58,142.3548,214.726,41.2919,140.71,83.54,221.77200000000002,95.8812,322.23900000000003,,6475.12,323.47327,217.9,1529.5493,1398.66,349.1272,2378.58,170.0564,420.28,1634.94,115.3661,377.721,615.5222,118.75718,97.4,78.09,232.03,492.38460999999995,226.7406,623.9451,417.35,947.24,137.22,221.7759,91.84,707.0854,91.5064,243.59177999999997,1070.109,84.54,177.6442,77.555,304.68,126.5061,1159.05,371.03747999999996,237.84,113.11200000000001,4714.0
2011-12-27,1059.3,122.12,148.7881,215.3468,41.7145,135.17,83.55,220.718,95.3511,334.37199999999996,,6551.14,313.00392,216.67,1520.4563,1444.33,352.876,2396.73,171.1044,422.35,1684.08,113.3288,382.35400000000004,621.995,119.36843,97.99,79.33,231.64,504.19707,224.533,636.1592,415.205,935.24,136.01,222.3261,89.75,713.3851,91.2954,243.83597999999998,1090.732,81.32,174.9075,79.75697,306.303,127.8433,1168.72,371.81428999999997,236.81,112.824,4750.5
2011-12-28,1053.57,117.39,148.2862,209.5619,41.0102,133.14,81.48,226.54,93.7042,334.957,,6393.34,315.40112,217.61,1507.6107,1449.65,352.5636,2381.77,171.1044,422.44,1688.54,110.4861,377.675,615.4756,117.62200000000001,94.11,80.52,225.25,508.32656,225.3764,636.6231,425.93300000000005,931.5,139.87,221.0987,90.88,700.1225,89.4374,243.83597999999998,1081.253,80.95,173.0824,81.03416,304.2853,127.1854,1153.8,362.85819,228.03,112.15299999999999,4705.799805
2011-12-29,1038.24,120.9,143.4042,211.7791,39.6252,130.42,84.42,216.593,90.6087,332.277,,6477.51,314.52052000000003,217.03,1509.8719,1431.09,341.0495,2436.01,169.3578,412.65,1683.11,111.0547,380.106,611.5174,116.83611,92.57,79.48,224.62,501.03605,221.234,618.1618,429.055,895.04,139.26,218.263,90.7,674.4026,90.4733,242.54171000000002,1078.016,80.99,172.0737,77.9513,299.9427,129.3248,1136.18,364.04626,225.86,113.064,4646.25
