,INFY.NS,^NSEI
2006-10-30,299.70662000000004,
2006-10-31,295.17096000000004,
2006-11-01,296.29051,
2006-11-02,293.65699,
2006-11-03,292.26923999999997,
2006-11-06,291.57903999999996,
2006-11-07,296.13613,
2006-11-08,299.44633,
2006-11-09,301.03746,
2006-11-10,301.41104,
2006-11-13,304.27723,
2006-11-14,311.37712,
2006-11-15,313.08095,
2006-11-16,309.88344,
2006-11-17,307.97507,
2006-11-20,317.46901,
2006-11-21,317.84933,
2006-11-22,313.49001,
2006-11-23,315.10989,
2006-11-24,314.89128,
2006-11-27,312.39807,
2006-11-28,304.94659,
2006-11-29,303.78422,
2006-11-30,307.03131,
2006-12-01,309.1938,
2006-12-04,310.91172,
2006-12-05,315.39839,
2006-12-06,316.77878,
2006-12-07,313.24323,
2006-12-08,309.26423,
2006-12-11,309.15831000000003,
2006-12-12,304.85477000000003,
2006-12-13,302.79821,
2006-12-14,309.34143,
2006-12-15,314.60956,
2006-12-18,313.34182000000004,
2006-12-19,303.91834,
2006-12-20,305.76358,
2006-12-21,304.77756,
2006-12-22,306.20026,
2006-12-26,312.6302,
2006-12-27,317.30672999999996,
2006-12-28,316.68019,
2006-12-29,315.7787,
2007-01-02,320.12392,
2007-01-03,325.57576,
2007-01-04,321.90609,
2007-01-05,320.46255,
2007-01-08,310.67959,
2007-01-09,308.49627000000004,
2007-01-10,304.88293,
2007-01-11,307.49616000000003,
2007-01-12,313.18687,
2007-01-15,315.9404,
2007-01-16,313.01784,
2007-01-17,310.65817000000004,
2007-01-18,313.29222999999996,
2007-01-19,310.22208,
2007-01-22,317.49717999999996,
2007-01-23,314.84168999999997,
2007-01-24,314.68731,
2007-01-25,315.666,
2007-01-29,316.14491,
2007-01-31,316.55343,
2007-02-01,319.60274,
2007-02-02,319.12439,
2007-02-05,319.65233,
2007-02-06,320.16618,
2007-02-07,332.01302000000004,
2007-02-08,334.35805,
2007-02-09,332.60407999999995,
2007-02-12,331.19548,
2007-02-13,324.56831,
2007-02-14,321.81423,
2007-02-15,335.66072,
2007-02-19,334.69613,
2007-02-20,332.42095,
2007-02-21,325.51207,
2007-02-22,322.21597,
2007-02-23,315.20116,
2007-02-26,312.44707999999997,
2007-02-27,308.0596,
2007-02-28,292.64281,
2007-03-01,304.13637,
2007-03-02,294.88924,
2007-03-05,282.7263,
2007-03-06,297.83996,
2007-03-07,293.74152000000004,
2007-03-08,300.84082,
2007-03-09,298.75555,
2007-03-12,297.95998,
2007-03-13,296.51645,
2007-03-14,284.53607,
2007-03-15,292.90311,
2007-03-16,288.40238,
2007-03-19,294.00858999999997,
2007-03-20,289.59291,
2007-03-21,294.95234,
2007-03-22,298.48848,
2007-03-23,294.76248,
2007-03-26,289.90957000000003,
2007-03-28,280.59933,
2007-03-29,280.40887999999995,
2007-03-30,284.34619,
2007-04-02,270.86537999999996,
2007-04-03,276.73978,
2007-04-04,280.91598999999997,
2007-04-05,280.63427,
2007-04-09,288.41702999999995,
2007-04-10,281.55661000000003,
2007-04-11,281.19038,
2007-04-12,288.17701,
2007-04-13,293.95955,
2007-04-16,299.84747999999996,
2007-04-17,293.37527,
2007-04-18,292.46646,
2007-04-19,287.33918,
2007-04-20,289.48025,
2007-04-23,291.47312,
2007-04-24,289.87462999999997,
2007-04-25,284.32478,
2007-04-26,284.3738,
2007-04-27,282.44458,
2007-04-30,288.88187,
2007-05-03,293.21976,
2007-05-04,291.84666,
2007-05-07,287.61357000000004,
2007-05-08,282.03553999999997,
2007-05-09,278.9862,
2007-05-10,278.0847,
2007-05-11,281.80339,
2007-05-14,281.98652000000004,
2007-05-15,277.97878,
2007-05-16,274.91536,
2007-05-17,279.3947,
2007-05-18,279.16933,
2007-05-21,276.14085,
2007-05-22,274.21839,
2007-05-23,271.26034,
2007-05-24,272.84474,
2007-05-25,279.67642,
2007-05-28,277.71171,
2007-05-29,275.19707999999997,
2007-05-30,268.4995,
2007-05-31,270.94313,
2007-06-01,68.26584,
2007-06-04,269.92895,
2007-06-05,273.71806000000004,
2007-06-06,276.73735,
2007-06-07,279.42199,
2007-06-08,278.52198,
2007-06-11,282.65545,
2007-06-12,284.04031000000003,
2007-06-13,283.93351,
2007-06-14,288.28056000000004,
2007-06-15,286.88142999999997,
2007-06-18,284.03288,
2007-06-19,279.34317999999996,
2007-06-20,279.00052999999997,
2007-06-21,279.60702000000003,
2007-06-22,278.51513,
2007-06-25,276.49521,
2007-06-26,274.42505,
2007-06-27,276.30905,
2007-06-28,274.83909,
2007-06-29,275.41016,
2007-07-02,277.52259,
2007-07-03,278.02971,
2007-07-04,275.6957,
2007-07-05,273.66096,
2007-07-06,281.51329,
2007-07-09,284.64736,
2007-07-10,288.46617000000003,
2007-07-11,275.49582000000004,
2007-07-12,274.4319,
2007-07-13,276.94466,
2007-07-16,276.38043,
2007-07-17,276.76648,
2007-07-18,277.62309,
2007-07-19,285.03969,
2007-07-20,283.57603,
2007-07-23,278.08682000000005,
2007-07-24,281.98442,
2007-07-25,283.94722,
2007-07-26,290.44325,
2007-07-27,286.65985,
2007-07-30,283.59772000000004,
2007-07-31,282.08437000000004,
2007-08-01,275.47413,
2007-08-02,271.1482,
2007-08-03,273.63982000000004,
2007-08-06,266.30832000000004,
2007-08-07,268.18545,
2007-08-08,280.8634,
2007-08-09,276.152,
2007-08-10,279.81433,
2007-08-13,278.38662999999997,
2007-08-14,279.17186,
2007-08-16,273.1327,
2007-08-17,264.77382,
2007-08-20,261.15432000000004,
2007-08-21,251.46712000000002,
2007-08-22,255.37215,
2007-08-23,258.63473,
2007-08-24,260.64035,
2007-08-27,263.79556,
2007-08-28,268.44244,
2007-08-29,262.30334,
2007-08-30,266.29402999999996,
2007-08-31,264.77382,
2007-09-03,265.64471000000003,
2007-09-04,269.79188,
2007-09-05,270.556,
2007-09-06,271.80495,
2007-09-07,272.47596,
2007-09-10,267.19347999999997,
2007-09-11,260.24061,
2007-09-12,260.10469,
2007-09-13,261.87503,
2007-09-14,262.2822,
2007-09-17,257.67075,4494.649902
2007-09-18,257.63534,4546.200195
2007-09-19,264.35236000000003,4732.350098
2007-09-20,257.04256000000004,4747.549805
2007-09-21,260.68318999999997,4837.549805
2007-09-24,251.7104,4932.200195
2007-09-25,252.89482,4938.850098
2007-09-26,260.57639,4940.5
2007-09-27,273.52504,5000.549805
2007-09-28,270.22762,5021.350098
2007-10-01,272.02595,5068.950195
2007-10-03,285.76097000000004,5210.799805
2007-10-04,285.38235,5208.649902
2007-10-05,283.09803,5185.850098
2007-10-08,286.06077999999997,5085.100098
2007-10-09,292.30668,5327.25
2007-10-10,303.39302000000004,5441.450195
2007-10-11,282.23399,5524.850098
2007-10-12,275.50267,5428.25
2007-10-15,275.23142,5670.399902
2007-10-16,266.45794,5668.049805
2007-10-17,269.87756,5559.299805
2007-10-18,273.30471,5351.0
2007-10-19,276.1465,5215.299805
2007-10-22,272.83502000000004,5184.0
2007-10-23,272.35725,5473.700195
2007-10-24,266.72515,5496.149902
2007-10-25,265.64813,5568.950195
2007-10-26,267.26714,5702.299805
2007-10-29,269.0533,5905.899902
2007-10-30,268.12782000000004,5868.75
2007-10-31,265.70538999999997,5900.649902
2007-11-01,270.9835,5866.450195
2007-11-02,277.23104,5932.399902
2007-11-05,268.09891,5847.299805
2007-11-06,267.77383,5786.5
2007-11-07,252.46704,5782.350098
2007-11-08,248.19365,5698.75
2007-11-09,245.99622000000002,5663.25
2007-11-12,237.42052999999999,5617.100098
2007-11-13,235.2954,5695.399902
2007-11-14,246.97896,5937.899902
2007-11-15,238.20892,5912.100098
2007-11-16,234.98421000000002,5906.850098
2007-11-19,234.25366,5907.649902
2007-11-20,226.40908,5780.899902
2007-11-21,223.71942,5561.049805
2007-11-22,221.47804,5519.350098
2007-11-23,225.22332999999998,5608.600098
2007-11-26,227.89101000000002,5731.700195
2007-11-27,227.55899,5698.149902
2007-11-28,226.92968,5617.549805
2007-11-29,226.63295,5634.600098
2007-11-30,231.73057999999997,5762.75
2007-12-03,231.41939,5865.0
2007-12-04,233.58154,5858.350098
2007-12-05,231.87519,5940.0
2007-12-06,236.48058999999998,5954.700195
2007-12-07,249.05435,5974.299805
2007-12-10,252.87192000000002,5960.600098
2007-12-11,252.23567000000003,6097.25
2007-12-12,243.76927999999998,6159.299805
2007-12-13,240.03789,6058.100098
2007-12-14,238.06432,6047.700195
2007-12-17,234.88993,5777.0
2007-12-18,233.96445,5742.299805
2007-12-19,237.06652999999997,5751.149902
2007-12-20,245.18642999999997,5766.5
2007-12-24,261.75822999999997,5985.100098
2007-12-26,262.86419,6070.75
