,ACC,ADANIPORTS,AMBUJACEM
2002-07-01,119.5,,7.355
2002-07-02,118.5,,7.3498
2002-07-03,118.06,,7.242000000000001
2002-07-04,116.73,,7.2394
2002-07-05,116.4,,7.2447
2002-07-08,120.83,,7.2998
2002-07-09,118.91,,7.1474
2002-07-10,118.43,,7.066
2002-07-11,116.8,,6.9609
2002-07-12,116.69,,6.9661
2002-07-15,114.44,,6.9346
2002-07-16,112.11,,6.9004
2002-07-17,110.26,,6.8899
2002-07-18,110.82,,6.9057
2002-07-19,110.97,,6.8137
2002-07-22,105.43,,6.6928
2002-07-23,104.87,,6.5562
2002-07-24,101.62,,6.4826
2002-07-25,100.77,,6.3197
2002-07-26,101.14,,6.1831
2002-07-29,100.0,,6.1174
2002-07-30,98.96,,6.0333
2002-07-31,98.07,,5.9544
2002-08-01,96.67,,5.936
2002-08-02,100.11,,5.8782
2002-08-05,102.54,,5.7679
2002-08-06,102.06,,5.8572
2002-08-07,101.73,,5.9439
2002-08-08,99.74,,5.8362
2002-08-09,99.48,,5.8414
2002-08-12,100.77,,8.7701
2002-08-13,100.7,,8.8292
2002-08-14,100.73,,9.526
2002-08-16,100.7,,9.5173
2002-08-19,100.7,,9.5779
2002-08-20,100.96,,9.5087
2002-08-21,102.84,,9.526
2002-08-22,103.36,,9.5779
2002-08-23,103.5,,9.5649
2002-08-26,103.62,,9.5087
2002-08-27,102.54,,9.4611
2002-08-28,101.29,,9.4481
2002-08-29,100.88,,9.4481
2002-08-30,102.03,,9.513
2002-09-02,103.32,,9.6558
2002-09-03,102.95,,9.5173
2002-09-04,101.55,,9.526
2002-09-05,104.24,,9.6731
2002-09-06,102.25,,9.5866
2002-09-09,101.99,,9.5909
2002-09-11,104.69,,9.6255
2002-09-12,108.31,,10.2098
2002-09-13,107.12,,10.0843
2002-09-16,105.31,,9.9761
2002-09-17,105.87,,10.0021
2002-09-18,103.32,,9.9804
2002-09-19,102.51,,9.8419
2002-09-20,102.4,,9.829
2002-09-23,102.47,,9.7381
2002-09-24,101.18,,9.6688
2002-09-25,100.81,,9.5996
2002-09-26,100.81,,9.5693
2002-09-27,102.73,,9.5866
2002-09-30,101.77,,9.4394
2002-10-01,102.06,,9.3962
2002-10-03,101.69,,9.487
2002-10-04,102.29,,9.4135
2002-10-07,104.8,,9.4221
2002-10-08,104.1,,9.5173
2002-10-09,103.95,,9.5736
2002-10-10,103.98,,9.5996
2002-10-11,104.17,,9.7511
2002-10-14,105.65,,9.7857
2002-10-16,106.76,,9.777000000000001
2002-10-17,106.05,,9.6905
2002-10-18,107.35,,9.7164
2002-10-21,106.79,,9.8073
2002-10-22,103.39,,9.6645
2002-10-23,101.66,,9.5909
2002-10-24,101.51,,9.5736
2002-10-25,100.03,,9.3096
2002-10-28,96.41,,9.0326
2002-10-29,98.78,,9.0629
2002-10-30,97.3,,8.9547
2002-10-31,98.19,,8.985
2002-11-01,102.47,,8.7469
2002-11-04,102.65,,8.8595
2002-11-05,105.35,,8.8898
2002-11-07,106.09,,9.0759
2002-11-08,105.02,,9.1192
2002-11-11,104.58,,9.0672
2002-11-12,106.31,,9.1451
2002-11-13,107.75,,9.2403
2002-11-14,108.57,,9.3182
2002-11-15,113.44,,9.2403
2002-11-18,112.15,,9.2793
2002-11-20,112.59,,9.222999999999999
2002-11-21,114.14,,9.1927
2002-11-22,113.81,,9.4784
2002-11-25,114.59,,9.4827
2002-11-26,114.55,,9.4827
2002-11-27,114.62,,9.4567
2002-11-28,120.16,,9.4741
2002-11-29,121.01,,6.3218
2002-12-02,120.76,,9.8679
2002-12-03,117.58,,9.6039
2002-12-04,115.36,,9.5823
2002-12-05,117.98,,9.6126
2002-12-06,121.16,,9.7164
2002-12-09,118.39,,9.5952
2002-12-10,116.47,,9.6126
2002-12-11,116.21,,9.6645
2002-12-12,116.69,,9.6082
2002-12-13,117.32,,9.6991
2002-12-16,117.5,,9.6645
2002-12-17,116.1,,9.5217
2002-12-18,116.25,,9.5087
2002-12-19,115.4,,9.3485
2002-12-20,115.62,,9.3356
2002-12-23,116.17,,9.1711
2002-12-24,117.17,,9.288
2002-12-26,117.65,,9.2663
2002-12-27,119.72,,9.3226
2002-12-30,121.83,,9.3788
2002-12-31,121.97,,9.4264
2003-01-01,121.42,,9.4741
2003-01-02,121.79,,9.6645
2003-01-03,117.65,,9.5173
2003-01-06,116.03,,9.4048
2003-01-07,113.66,,9.3832
2003-01-08,116.03,,9.4827
2003-01-09,116.88,,9.5303
2003-01-10,115.88,,9.5433
2003-01-13,114.55,,9.4697
2003-01-14,117.39,,9.802999999999999
2003-01-15,117.02,,9.7381
2003-01-16,116.36,,9.7511
2003-01-17,113.33,,9.5779
2003-01-20,110.89,,9.4741
2003-01-21,111.48,,9.4524
2003-01-22,111.63,,9.3399
2003-01-23,112.0,,9.4178
2003-01-24,108.38,,9.0845
2003-01-27,107.64,,9.1018
2003-01-28,107.9,,9.2317
2003-01-29,107.12,,9.1538
2003-01-30,103.73,,9.1192
2003-01-31,105.46,,9.1105
2003-02-03,108.71,,9.2836
2003-02-04,108.05,,9.2447
2003-02-05,106.83,,9.222999999999999
2003-02-06,108.68,,9.2317
2003-02-07,107.42,,9.3096
2003-02-10,106.5,,9.3182
2003-02-11,108.57,,9.1884
2003-02-12,113.29,,9.1971
2003-02-14,108.9,,8.8595
2003-02-17,116.84,,8.8941
2003-02-18,113.0,,9.0499
2003-02-19,113.18,,8.9677
2003-02-20,113.15,,8.8854
2003-02-21,113.37,,8.9331
2003-02-24,113.77,,9.1192
2003-02-25,111.85,,9.1192
2003-02-26,113.52,,9.3702
2003-02-27,112.59,,9.3485
2003-02-28,113.88,,9.3312
2003-03-03,112.15,,9.3442
2003-03-04,110.74,,9.3356
2003-03-05,109.86,,9.2923
2003-03-06,109.6,,9.1711
2003-03-07,107.05,,8.8335
2003-03-10,103.8,,8.6517
2003-03-11,104.24,,8.6344
2003-03-12,104.87,,8.695
2003-03-13,104.13,,8.7643
2003-03-17,102.73,,8.7902
2003-03-19,97.96,,8.959
2003-03-20,100.25,,8.9677
2003-03-21,102.25,,5.9813
2003-03-24,99.55,,9.0586
2003-03-25,99.74,,9.1018
2003-03-26,102.36,,9.1278
2003-03-27,102.14,,9.1927
2003-03-28,102.47,,9.2317
2003-03-31,102.32,,9.2317
2003-04-01,102.84,,9.3918
2003-04-02,103.69,,9.4697
2003-04-03,103.28,,9.5173
2003-04-04,104.39,,9.5173
2003-04-07,105.57,,9.6428
2003-04-08,106.35,,9.5346
2003-04-09,105.5,,9.5346
2003-04-10,103.8,,9.5346
2003-04-11,104.06,,9.3962
2003-04-15,100.14,,9.5563
2003-04-16,101.03,,9.5476
2003-04-17,101.51,,9.5346
2003-04-21,99.4,,9.4914
2003-04-22,99.11,,9.526
2003-04-23,98.7,,9.539
2003-04-24,96.86,,9.5866
2003-04-25,94.57,,9.4827
2003-04-28,94.9,,9.5173
2003-04-29,95.67,,9.5173
2003-04-30,96.63,,9.6126
2003-05-02,96.38,,9.5779
2003-05-05,97.56,,9.5866
2003-05-06,98.81,,9.9155
2003-05-07,97.74,,11.3398
2003-05-08,96.12,,11.5341
2003-05-09,95.64,,11.3149
2003-05-12,95.64,,11.2751
2003-05-13,96.97,,11.4096
2003-05-14,97.56,,11.29
2003-05-15,99.15,,11.3946
2003-05-16,98.52,,11.6835
2003-05-19,98.26,,11.8179
2003-05-20,98.41,,11.802999999999999
2003-05-21,100.18,,11.7881
2003-05-22,100.14,,11.7233
2003-05-23,100.25,,11.5739
2003-05-26,103.8,,11.7383
2003-05-27,104.06,,11.6237
2003-05-28,103.84,,11.4892
2003-05-29,108.08,,11.4743
2003-05-30,107.53,,11.7632
2003-06-02,110.41,,12.2064
2003-06-03,109.78,,12.1666
2003-06-04,109.56,,12.1367
2003-06-05,108.31,,12.0968
2003-06-06,109.45,,12.2811
2003-06-09,112.22,,12.3359
2003-06-10,108.79,,12.306
2003-06-11,109.23,,12.1865
2003-06-12,109.16,,12.1217
2003-06-13,108.82,,12.3508
2003-06-16,107.64,,12.3608
2003-06-17,113.52,,12.8638
2003-06-18,118.87,,12.9186
2003-06-19,118.5,,12.8887
2003-06-20,117.06,,12.804
2003-06-23,115.66,,12.8538
2003-06-24,116.03,,12.5849
2003-06-25,122.16,,12.7791
2003-06-26,123.97,,13.0331
2003-06-27,126.11,,13.6108
2003-06-30,125.36,,13.6457
2003-07-01,122.55,,13.2572
2003-07-02,123.75,,13.4166
2003-07-03,126.37,,13.5411
2003-07-04,126.52,,13.5062
2003-07-07,127.39,,13.4415
2003-07-08,127.57,,13.4664
2003-07-09,125.4,,13.0929
2003-07-10,131.13,,13.2522
2003-07-11,129.15,,13.058
2003-07-14,134.4,,13.312000000000001
2003-07-15,133.08,,13.3419
2003-07-16,136.42,,13.6805
2003-07-17,133.12,,13.7403
2003-07-18,130.84,,13.8349
2003-07-21,130.69,,14.0092
2003-07-22,125.29,,13.565999999999999
2003-07-23,123.94,,13.5311
2003-07-24,128.44,,13.6407
2003-07-25,133.8,,14.1885
2003-07-28,134.32,,14.069
2003-07-29,139.38,,14.3678
2003-07-30,148.9,,14.9206
2003-07-31,145.64,,15.075
2003-08-01,151.57,,15.4535
2003-08-04,152.77,,15.6128
2003-08-05,146.02,,14.8509
2003-08-06,148.38,,14.9256
2003-08-07,150.1,,15.1547
2003-08-08,154.34,,15.3738
2003-08-11,154.64,,15.3539
2003-08-12,151.72,,15.2244
2003-08-13,156.85,,15.6278
2003-08-14,154.72,,15.5232
2003-08-18,156.85,,17.4086
2003-08-19,161.31,,17.6143
2003-08-20,162.96,,17.5686
2003-08-21,163.71,,17.7571
2003-08-22,163.08,,17.7514
2003-08-25,155.35,,16.9115
2003-08-26,160.23,,17.3343
2003-08-27,160.3,,17.9742
2003-08-28,153.67,,17.1743
2003-08-29,159.29,,17.5971
2003-09-01,162.89,,18.3227
2003-09-02,165.51,,18.0599
2003-09-03,160.11,,17.5686
2003-09-04,159.03,,17.2258
2003-09-05,161.91,,17.6714
2003-09-08,163.19,,18.2199
2003-09-09,160.9,,17.7171
2003-09-10,161.61,,17.8257
2003-09-11,160.56,,17.5857
2003-09-12,155.61,,17.3457
2003-09-15,147.03,,16.4716
2003-09-16,149.65,,16.4259
2003-09-17,143.32,,16.4145
2003-09-18,136.98,,15.7003
2003-09-19,137.55,,15.6603
2003-09-22,142.01,,16.0202
2003-09-23,142.64,,16.5802
2003-09-24,148.98,,16.923
2003-09-25,145.12,,16.5516
2003-09-26,147.22,,17.2201
2003-09-29,151.04,,17.5914
2003-09-30,152.5,,17.5
2003-10-01,150.59,,17.4657
2003-10-03,154.87,,17.74
2003-10-06,158.09,,17.82
2003-10-07,158.31,,18.4027
2003-10-08,159.89,,18.4827
2003-10-09,155.17,,18.7684
2003-10-10,152.58,,18.4027
2003-10-13,156.21,,18.6884
2003-10-14,152.62,,17.8771
2003-10-15,153.37,,17.5971
2003-10-16,158.91,,18.0656
2003-10-17,162.78,,17.6486
2003-10-20,157.56,,17.34
2003-10-21,149.35,,17.1515
2003-10-22,148.68,,16.9915
2003-10-23,147.78,,17.2258
2003-10-24,149.35,,11.7314
2003-10-27,154.12,,17.58
2003-10-28,151.15,,17.3572
2003-10-29,152.43,,17.8999
2003-10-30,153.52,,18.5855
2003-10-31,159.81,,19.2026
2003-11-03,170.72,,20.0824
2003-11-04,175.78,,21.6022
2003-11-05,175.03,,21.945
2003-11-06,175.63,,21.8079
2003-11-07,172.41,,21.2365
2003-11-10,172.22,,21.2708
2003-11-11,181.41,,21.8307
2003-11-12,176.72,,21.4765
2003-11-13,171.88,,20.3681
2003-11-14,167.57,,13.3426
2003-11-17,172.52,,20.7852
2003-11-18,168.74,,20.3281
2003-11-19,164.91,,20.5052
2003-11-20,164.65,,20.8252
